P=3.4
# Times (BJD) 	 Norm. Flux. 	 Norm. Flux Err.
2457288.77153	0.999656649617	0.00169214080168
2457288.77232	1.00107846929	0.00169071635172
2457288.77312	0.999020032558	0.00168429407824
2457288.77392	0.998880972878	0.00168243075562
2457288.77472	0.999031742239	0.00138514371544
2457288.77552	0.996320849008	0.00167131486381
2457288.77632	0.999294587005	0.00165180778972
2457288.77711	1.00246677195	0.00165177972301
2457288.7779	1.00093356221	0.00165337596101
2457288.7787	0.997417028885	0.00164921208464
2457288.7795	0.997292000257	0.00164535896456
2457288.78038	1.00170264319	0.00115037198798
2457288.78135	1.00079639781	0.00130631310884
2457288.78233	1.00174261113	0.001316170707
2457288.7833	0.997293300956	0.00129564407193
2457288.78427	1.00339559293	0.00129567960134
2457288.78523	0.999676156777	0.0012611887602
2457288.7862	0.998296616931	0.00126894658936
2457288.78718	1.00023418197	0.0012561903166
2457288.78815	1.00059695448	0.00127290769893
2457288.78912	1.00127182799	0.00110784199493
2457288.79009	1.0	0.00124021245525
2457288.79106	0.999013779451	0.00109651076432
2457288.79204	1.00125728472	0.00109623159615
2457288.79301	1.00018287301	0.00121909060871
2457288.79398	0.999452272554	0.00122727355357
2457288.79494	1.00136307505	0.001221175391
2457288.79591	0.99957572725	0.00122523430502
2457288.79689	1.00161760616	0.00122333529819
2457288.79786	1.00270999002	0.00121421315763
2457288.79883	1.00002953408	0.00121365471635
2457288.7998	0.997629306562	0.00108187740384
2457288.80078	1.00302043298	0.00102163701136
2457288.80175	1.00121248838	0.00120845983178
2457288.80271	1.00042821703	0.00119963057223
2457288.80368	0.999113235083	0.00107411287752
2457288.80465	1.00144189203	0.0010780661418
2457288.80563	1.00166946464	0.00120405415309
2457288.8066	1.00105241119	0.00120986633069
2457288.80757	1.0008278497	0.00121761994615
2457288.80854	1.00003068475	0.00107831277279
2457288.80951	1.001209519	0.00107753098777
2457288.81049	1.00054880146	0.00108669842143
2457288.81145	1.00067715263	0.00108971351968
2457288.81242	1.00163817532	0.00122798581389
2457288.81339	1.0004666586	0.00108352703733
2457288.81436	1.00094396225	0.00107810942788
2457288.81534	1.00070835444	0.00121687484433
2457288.81631	1.0007840199	0.00122723072292
2457288.81728	1.0026380727	0.00121629895757
2457288.81825	1.00042668773	0.00121761199024
2457288.81923	1.00287324426	0.00123782707575
2457288.8202	1.00106813793	0.00122093851627
2457288.82116	1.00043460909	0.0010795470678
2457288.82213	1.00001937841	0.00121918207111
2457288.8231	1.0019876443	0.00122139762074
2457288.82405	1.00090790177	0.00129727141673
2457288.82497	1.00025525813	0.00114681867125
2457288.82588	0.997716678774	0.00129470336325
2457288.8268	0.999861515312	0.00112436261406
2457288.82771	1.0005512204	0.00130551603218
2457288.82862	1.00063374773	0.00132042031855
2457288.82954	1.00146373925	0.00130491571227
2457288.83044	0.998163117303	0.00115589113918
2457288.83136	1.00026308119	0.0013070326666
2457288.83227	1.00246767374	0.00132188894362
2457288.83318	1.00060243435	0.00130136267753
2457288.83404	0.998790561447	0.00152074017248
2457288.83484	0.999557870796	0.00151545368267
2457288.83564	1.00046006053	0.00151131111571
2457288.83643	0.997692373744	0.00152004568101
2457288.83722	0.99744836863	0.00152941487842
2457288.83802	0.992542176988	0.00151106398288
2457288.83882	0.996393879672	0.00152662033445
2457288.83962	0.997213568519	0.00151652231247
2457288.84042	0.991307516824	0.00151762161952
2457288.84122	0.991437229759	0.00131809060991
2457288.84202	0.992314349907	0.00150142598157
2457288.84281	0.989287580502	0.00150265604536
2457288.8436	0.986864073995	0.00132263551074
2457288.8444	0.986153488655	0.00149100567744
2457288.8452	0.986910708601	0.00148549035656
2457288.846	0.987391824675	0.00151827627803
2457288.8468	0.985763004983	0.00150197681013
2457288.8476	0.985957967318	0.00149777178383
2457288.84839	0.985673513147	0.00150496401678
2457288.84919	0.983071799351	0.00153655970852
2457288.84998	0.980791223552	0.00149719242006
2457288.85078	0.980607341849	0.00151582264661
2457288.85158	0.980498473882	0.00150971481523
2457288.85238	0.981280483273	0.00151950978259
2457288.85317	0.982262268864	0.00151888026555
2457288.85397	0.980908972514	0.00149934057076
2457288.85477	0.982345407781	0.00148784011989
2457288.85557	0.981901192035	0.00152232089735
2457288.85637	0.982559204654	0.00149625853549
2457288.85716	0.981034370795	0.00135758918982
2457288.85795	0.981647285714	0.00150351268595
2457288.85875	0.978919519535	0.00131760155614
2457288.85955	0.981182422076	0.00152467651443
2457288.86035	0.981277976487	0.001491728575
2457288.86115	0.981719286	0.0015147319459
2457288.86195	0.979636525413	0.0014896246211
2457288.86275	0.982977170346	0.00149429692498
2457288.86355	0.979577204458	0.00149668566572
2457288.86434	0.980551003247	0.00148115726056
2457288.86513	0.98030604228	0.0015156608682
2457288.86593	0.979255979524	0.00149565419576
2457288.86673	0.979374116951	0.00148247508999
2457288.86753	0.977904758866	0.00149030029259
2457288.86833	0.979281166705	0.00149494693761
2457288.86912	0.980226681105	0.00149051228325
2457288.86992	0.979635272732	0.00149622358201
2457288.87072	0.982053624352	0.00149781614987
2457288.87152	0.978709367685	0.00149922646421
2457288.87231	0.982960342624	0.00148659503455
2457288.87311	0.979583021493	0.00149087209125
2457288.8739	0.979553365553	0.00149300605496
2457288.8747	0.978704916328	0.00147969186966
2457288.8755	0.978871555229	0.0014757822056
2457288.8763	0.982813126778	0.00148073927948
2457288.8771	0.982832587619	0.00148550001016
2457288.8779	0.98346216498	0.00149262873482
2457288.87868	0.981847007247	0.00147393614864
2457288.87948	0.980833776316	0.00148529761325
2457288.88028	0.981948633843	0.00148550299825
